127.0.0.1 - - [07/Dec/2020:14:17:39 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
127.0.0.1 - - [07/Dec/2020:14:18:20 +0000] "POST / HTTP/1.1" 404 140 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [07/Dec/2020:14:18:50 +0000] "POST /api HTTP/1.1" 404 46 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [07/Dec/2020:14:19:04 +0000] "POST /api/v1.0 HTTP/1.1" 404 46 "-" "PostmanRuntime/7.26.8"
192.168.1.24 - - [07/Dec/2020:14:29:32 +0000] "POST / HTTP/1.1" 404 140 "-" "PostmanRuntime/7.26.8"
192.168.1.24 - - [07/Dec/2020:14:39:08 +0000] "POST /api HTTP/1.1" 404 46 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:05:44:18 +0000] "POST /api/v1.0/newrole HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:05:44:21 +0000] "POST /api/v1.0/newrole HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:05:44:44 +0000] "POST /api/v1.0/getfaqdata HTTP/1.1" 200 148 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:05:53:17 +0000] "POST /api/v1.0/newrole HTTP/1.1" 500 1973 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:07:29:25 +0000] "POST /api/v1.0/emaildynamic HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:07:32:26 +0000] "POST /api/v1.0/emaildynamic HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:07:33:04 +0000] "POST /api/v1.0/emaildynamic HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:08:45:24 +0000] "POST /api/v1.0/emaildynamic HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:09:50:26 +0000] "POST /api/v1.0/newrole2 HTTP/1.1" 200 42 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:10:07:29 +0000] "POST /api/v1.0/getrole HTTP/1.1" 404 46 "-" "PostmanRuntime/7.26.8"
127.0.0.1 - - [08/Dec/2020:10:07:31 +0000] "POST /api/v1.0/getrole HTTP/1.1" 404 46 "-" "PostmanRuntime/7.26.8"
